City 0me,Zone 0me,Ward 0me,Ward No.,Total number of households (HH),HH part of the city sewerage network,Number of Households with toilets,Number of free public toilets - Female,Number of free public toilets - Male,Number of paid public toilets - Female,Number of paid public toilets - Male
Amaravati,TOTAL,0,0,37959,0,20877.45,0,0,0,0
Amaravati,Abbarajupalem ,0,0,255,0,109.4,0,0,0,0
Amaravati,A0nthavaram ,0,0,1418,0,779.9,0,0,0,0
Amaravati,Bethapudi ,0,0,985,0,541.75,0,0,0,0
Amaravati,Borupalem ,0,0,600,0,333.6,0,0,0,0
Amaravati,Dondapadu ,0,0,987,0,610.95,0,0,0,0
Amaravati,I0volu ,0,0,781,0,367.07,0,0,0,0
Amaravati,Krish0yapalem ,0,0,668,0,414.16,0,0,0,0
Amaravati,Kuragallu ,0,0,1051,0,449.83,0,0,0,0
Amaravati,Lingayapalem ,0,0,705,0,379.29,0,0,0,0
Amaravati,Malkapuram ,0,0,546,0,337.43,0,0,0,0
Amaravati,Mandadam ,0,0,2742,0,1779.56,0,0,0,0
Amaravati,Neerukonda ,0,0,705,0,387.75,0,0,0,0
Amaravati,Nekkallu ,0,0,807,0,506.8,0,0,0,0
Amaravati,Nelapadu ,0,0,438,0,275.5,0,0,0,0
Amaravati,Nidamarru ,0,0,2033,0,1193.37,0,0,0,0
Amaravati,Nowlur ,0,0,4126,0,2269.3,0,0,0,0
Amaravati,Penumaka ,0,0,2939,0,2342.38,0,0,0,0
Amaravati,Rayapudi ,0,0,1702,0,1211.82,0,0,0,0
Amaravati,Sakhamuru ,0,0,530,0,323.83,0,0,0,0
Amaravati,Tullur ,0,0,3321,0,2298.13,0,0,0,0
Amaravati,Uddanda Rayunipalem,0,0,662,0,364.1,0,0,0,0
Amaravati,Undavalli ,0,0,3844,0,2114.2,0,0,0,0
Amaravati,Velagapudi ,0,0,1059,0,579.27,0,0,0,0
Amaravati,Venkatapalem ,0,0,1391,0,765.05,0,0,0,0
Amaravati,Yerrabalem ,0,0,3664,0,2015.2,0,0,0,0
